fecha,latitud,longitud,alcaldia,colonia,temp,precip,humedad,viento,radiacion,presion,incidente
2019-03-05,19.368158,-99.028024,IZTAPALAPA,EJERCITO DE ORIENTE (U HAB) II,16.38,1.25,55.18,0.68,6.0089,74.68,Encharcamiento
2019-03-05,19.4061,-99.172321,CUAUHTEMOC,HIPODROMO II,16.41,1.9,55.18,0.57,6.0089,74.73,Encharcamiento
2019-03-05,19.361293,-99.004218,IZTAPALAPA,SANTA MARTHA ACATITLA_(PBLO),16.38,1.25,55.18,0.68,6.0089,74.68,Inundacion
2019-03-05,19.38056,-99.073247,IZTAPALAPA,LEYES DE REFORMA 3A SECCION I,16.41,1.9,55.18,0.57,6.0089,74.73,Inundacion
2019-02-25,19.3311,-99.162055,COYOACAN,PEDREGAL DE STO DOMINGO III,13.99,1.53,62.04,0.88,5.0045,74.77,Inundacion
2019-06-24,19.246182,-99.070137,XOCHIMILCO,SANTA CRUZ ACALPIXCA (PBLO),18.96,13.73,78.85,1.25,4.1076,79.85,Inundacion
2019-03-08,19.472154,-99.066314,GUSTAVO A. MADERO,LA PRADERA,16.71,0.04,43.61,0.66,6.001,74.6,Encharcamiento
2019-06-23,19.24784,-99.126399,XOCHIMILCO,SANTIAGO TEPALCATLALPAN (PBLO),19.54,13.46,76.32,1.02,4.7165,79.86,Encharcamiento
2019-06-23,19.24784,-99.126399,XOCHIMILCO,SANTIAGO TEPALCATLALPAN (PBLO),19.54,13.46,76.32,1.02,4.7165,79.86,Inundacion
2019-06-23,19.24784,-99.126399,XOCHIMILCO,SANTIAGO TEPALCATLALPAN (PBLO),19.54,13.46,76.32,1.02,4.7165,79.86,Inundacion
2019-06-23,19.24784,-99.126399,XOCHIMILCO,SANTIAGO TEPALCATLALPAN (PBLO),19.54,13.46,76.32,1.02,4.7165,79.86,Inundacion
2019-06-23,19.258063,-99.072751,XOCHIMILCO,SAN GREGORIO ATLAPULCO (PBLO),16.98,10.92,75.98,0.47,4.7165,74.66,Encharcamiento
2019-06-23,19.244348,-99.068539,XOCHIMILCO,SANTA CRUZ ACALPIXCA (PBLO),19.54,13.46,76.32,1.02,4.7165,79.86,Encharcamiento
